state,csv_url
AP,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=699710949
BA,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=1167874938
DF,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=210452485
MG,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=0
MT,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=1318029455
PA,https://docs.google.com/spreadsheets/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=809888825
PE,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=1823285497
PR,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=1224674980
RO,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=2132837598
RS,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=1287795013
SC,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=445185898
SP,https://docs.google.com/spreadsheets/u/0/d/11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI/export?format=csv&id=11dZ0Ikcpnq2mBCP_B4ltOfM1OIvuuP_WLwGtHih4lXI&gid=876829047
